Tipo de equipo e instalación;Ámbito medioambiental;Agrupación de actividad económica;periodo;Total
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C24-25. Metalurgia y fabricación de productos metálicos;2016;11.230.547
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C24-25. Metalurgia y fabricación de productos metálicos;2015;27.725.427
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C24-25. Metalurgia y fabricación de productos metálicos;2014;19.444.142
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C24-25. Metalurgia y fabricación de productos metálicos;2013;11.307.626
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C24-25. Metalurgia y fabricación de productos metálicos;2012;21.511.945
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C24-25. Metalurgia y fabricación de productos metálicos;2011;21.005.581
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C24-25. Metalurgia y fabricación de productos metálicos;2010;46.684.965
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C24-25. Metalurgia y fabricación de productos metálicos;2009;44.303.001
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C24-25. Metalurgia y fabricación de productos metálicos;2008;79.483.284
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C26-27. Fabricación de productos informáticos electrónicos ópticos y eléctricos;2021;1.229.730
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C26-27. Fabricación de productos informáticos electrónicos ópticos y eléctricos;2020;448.012
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C26-27. Fabricación de productos informáticos electrónicos ópticos y eléctricos;2019;595.752
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C26-27. Fabricación de productos informáticos electrónicos ópticos y eléctricos;2018;563.306
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C26-27. Fabricación de productos informáticos electrónicos ópticos y eléctricos;2017;1.688.672
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C26-27. Fabricación de productos informáticos electrónicos ópticos y eléctricos;2016;2.318.684
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C26-27. Fabricación de productos informáticos electrónicos ópticos y eléctricos;2015;2.878.822
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C26-27. Fabricación de productos informáticos electrónicos ópticos y eléctricos;2014;966.010
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C26-27. Fabricación de productos informáticos electrónicos ópticos y eléctricos;2013;1.046.366
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C26-27. Fabricación de productos informáticos electrónicos ópticos y eléctricos;2012;1.608.001
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C26-27. Fabricación de productos informáticos electrónicos ópticos y eléctricos;2011;1.407.716
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C26-27. Fabricación de productos informáticos electrónicos ópticos y eléctricos;2010;2.944.876
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C26-27. Fabricación de productos informáticos electrónicos ópticos y eléctricos;2009;2.110.182
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C26-27. Fabricación de productos informáticos electrónicos ópticos y eléctricos;2008;3.614.686
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C28. Fabricación de maquinaria y equipo;2021;435.849
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C28. Fabricación de maquinaria y equipo;2020;543.994
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C28. Fabricación de maquinaria y equipo;2019;958.554
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C28. Fabricación de maquinaria y equipo;2018;510.593
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C28. Fabricación de maquinaria y equipo;2017;466.326
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C28. Fabricación de maquinaria y equipo;2016;132.148
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C28. Fabricación de maquinaria y equipo;2015;576.453
